"","id_sp","ID","KM2","GROUP"
"1","1-Alpine Sphagnum Bogs and Associated Fens",1,17521.54348,"tec"
"2","2-Aquatic Root Mat Community 1 in Caves of the Leeuwin Naturaliste Ridge",2,2.962529206,"tec"
"3","3-Aquatic Root Mat Community 2 in Caves of the Leeuwin Naturaliste Ridge",3,2.936168642,"tec"
"4","4-Aquatic Root Mat Community 3 in Caves of the Leeuwin Naturaliste Ridge",4,2.988868766,"tec"
"5","5-Aquatic Root Mat Community 4 in Caves of the Leeuwin Naturaliste Ridge",5,2.811091311,"tec"
"6","6-Aquatic Root Mat Community in Caves of the Swan Coastal Plain",6,8.016857086,"tec"
"7","7-Arnhem Plateau Sandstone Shrubland Complex",7,9453.390183,"tec"
"8","8-Assemblages of plants and invertebrate animals of tumulus (organic mound) springs of the Swan Coastal Plain",8,5.740277597,"tec"
"9","9-Assemblages of species associated with open-coast salt-wedge estuaries of western and central Victoria ecological community",9,22.62658909,"tec"
"10","10-Banksia Woodlands of the Swan Coastal Plain ecological community",10,2720.226876,"tec"
"11","11-Blue Gum High Forest of the Sydney Basin Bioregion",11,0.777812338,"tec"
"12","12-Brigalow (Acacia harpophylla dominant and co-dominant)",12,6766.422131,"tec"
"13","13-Broad leaf tea-tree (Melaleuca viridiflora) woodlands in high rainfall coastal north Queensland",13,424.291729,"tec"
"14","14-Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions",14,293.0627698,"tec"
"15","15-Castlereagh Scribbly Gum and Agnes Banks Woodlands of the Sydney Basin Bioregion",15,29.61926865,"tec"
"16","16-Central Hunter Valley eucalypt forest and woodland",16,162.8949786,"tec"
"17","17-Clay Pans of the Swan Coastal Plain",17,31.19780202,"tec"
"18","18-Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community",18,556.9943788,"tec"
"19","19-Coastal Upland Swamps in the Sydney Basin Bioregion",19,129.0168422,"tec"
"20","20-Cooks River/Castlereagh Ironbark Forest of the Sydney Basin Bioregion",20,11.42919156,"tec"
"21","21-Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions",21,16800.58888,"tec"
"22","22-Corymbia calophylla - Kingia australis woodlands on heavy soils of the Swan Coastal Plain",22,5.460153047,"tec"
"23","23-Corymbia calophylla - Xanthorrhoea preissii woodlands and shrublands of the Swan Coastal Plain",23,5.504574885,"tec"
"24","24-Cumberland Plain Shale Woodlands and Shale-Gravel Transition Forest",24,92.89452361,"tec"
"25","25-Eastern Stirling Range Montane Heath and Thicket",25,5.469830122,"tec"
"26","26-Eastern Suburbs Banksia Scrub of the Sydney Region",26,2.209302492,"tec"
"27","27-Eucalypt Woodlands of the Western Australian Wheatbelt",27,5616.142859,"tec"
"28","28-Eucalyptus ovata - Callitris oblonga Forest",28,25.19873543,"tec"
"29","29-Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland",29,23.68597726,"tec"
"30","30-Giant Kelp Marine Forests of South East Australia",30,4.132153527,"tec"
"31","31-Gippsland Red Gum (Eucalyptus tereticornis subsp. mediana) Grassy Woodland and Associated Native Grassland",31,401.3754769,"tec"
"32","32-Grassy Eucalypt Woodland of the Victorian Volcanic Plain",32,1681.709538,"tec"
"33","33-Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia",33,10205.28648,"tec"
"34","34-Hunter Valley Weeping Myall (Acacia pendula) Woodland",34,0.020568675,"tec"
"35","35-Illawarra and south coast lowland forest and woodland ecological community",35,42.3705286,"tec"
"36","36-Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion",36,669.3033419,"tec"
"37","37-Iron-grass Natural Temperate Grassland of South Australia",37,36.99531665,"tec"
"38","38-Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland",38,49.51260322,"tec"
"39","39-Littoral Rainforest and Coastal Vine Thickets of Eastern Australia",39,456.4883747,"tec"
"40","40-Lowland Grassy Woodland in the South East Corner Bioregion",40,163.5027761,"tec"
"41","41-Lowland Native Grasslands of Tasmania",41,105.3325562,"tec"
"42","42-Lowland Rainforest of Subtropical Australia",42,5775.736886,"tec"
"43","43-Mabi Forest (Complex Notophyll Vine Forest 5b)",43,7.303409849,"tec"
"44","44-Monsoon vine thickets on the coastal sand dunes of Dampier Peninsula",44,239.5603407,"tec"
"45","45-Natural Damp Grassland of the Victorian Coastal Plains",45,1.498937351,"tec"
"46","46-Natural Grasslands of the Murray Valley Plains",46,525.5874677,"tec"
"47","47-Natural Grasslands of the Queensland Central Highlands and northern Fitzroy Basin",47,4309.571727,"tec"
"48","48-Natural grasslands on basalt and fine-textured alluvial plains of northern New South Wales and southern Queensland",48,14765.4412,"tec"
"49","49-Natural Temperate Grassland of the South Eastern Highlands",49,18177.76804,"tec"
"50","50-Natural Temperate Grassland of the Victorian Volcanic Plain",50,471.2732696,"tec"
"51","51-New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands",51,150.5357955,"tec"
"52","52-Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia",52,289.0084101,"tec"
"53","53-Perched Wetlands of the Wheatbelt region with extensive stands of living sheoak and paperbark across the lake floor (Toolibin Lake)",53,3.164556465,"tec"
"54","54-Poplar Box Grassy Woodland on Alluvial Plains",54,79549.26273,"tec"
"55","55-Posidonia australis seagrass meadows of the Manning-Hawkesbury ecoregion",55,15.46181639,"tec"
"56","56-Proteaceae Dominated Kwongkan Shrublands of the Southeast Coastal Floristic Province of Western Australia",56,11443.89886,"tec"
"57","57-Robertson Rainforest in the Sydney Basin Bioregion",57,110.6564772,"tec"
"58","58-Scott River Ironstone Association",58,5.128347193,"tec"
"59","59-Seasonal Herbaceous Wetlands (Freshwater) of the Temperate Lowland Plains",59,117.1920049,"tec"
"60","60-Sedgelands in Holocene dune swales of the southern Swan Coastal Plain",60,55.28217488,"tec"
"61","61-Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions",61,3054.584512,"tec"
"62","62-Shale Sandstone Transition Forest of the Sydney Basin Bioregion",62,93.73863682,"tec"
"63","63-Shrublands and Woodlands of the eastern Swan Coastal Plain",63,2.675995172,"tec"
"64","64-Shrublands and Woodlands on Muchea Limestone of the Swan Coastal Plain",64,3.935547002,"tec"
"65","65-Shrublands and Woodlands on Perth to Gingin ironstone (Perth to Gingin ironstone association) of the Swan Coastal Plain",65,3.437359384,"tec"
"66","66-Shrublands on southern Swan Coastal Plain ironstones",66,0.628707106,"tec"
"67","67-Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions",67,2.667092755,"tec"
"68","68-Southern Highlands Shale Forest and Woodland in the Sydney Basin Bioregion",68,61.30690643,"tec"
"69","69-Subtropical and Temperate Coastal Saltmarsh",69,2403.692423,"tec"
"70","70-Swamp Tea-tree (Melaleuca irbyana) Forest of South-east Queensland",70,3.074194262,"tec"
"71","71-Swamps of the Fleurieu Peninsula",71,20.79700323,"tec"
